Rank,Link,Namegame,Game_image,Category,Capacity,language,Graphics,Vote,installation_file
1,https://afkmobi.com/game/arknights-vung-dat-tan-cung,Arknights Vùng Đất Tận Cùng,https://cdn.afkmobi.com/afkmobi--Arknights--vung--dat--tan--cung--icon--hd_afk_2025_11_100x100_jpg,Game hành động,2 GB,"Việt Nam, English",3D,3.6/5 - (27 bình chọn),"Android: https://play.google.com/store/apps/details?id=com.gryphline.endfield.gp.vn
IOS: https://apps.apple.com/vn/app/arknights-endfield-vn/id6752563987
APK: https://endfield.gryphline.com/vi-vn#home"
2,https://afkmobi.com/game/where-winds-meet-mobile,Where Winds Meet Mobile,https://cdn.afkmobi.com/Where--Winds--Meet_afk_2025_01_100x100_jpg,Game nhập vai,3.9 GB,English,3D,3.9/5 - (45 bình chọn),"Android: https://play.google.com/store/apps/details?id=com.netease.yysls
IOS: https://apps.apple.com/us/app/where-winds-meet/id6472396866
APK: https://www.wherewindsmeetgame.com/"
3,https://afkmobi.com/game/tam-quoc-chien-dia-vo-cuong,Tam Quốc Chiến Địa Vô Cương,https://cdn.afkmobi.com/afkmobi--tam--quoc--chien--dia--vo--cuong--icon--sd_afk_2025_12_100x100_jpg,Game chiến thuật,2 GB,"Việt Nam, English",3D,4.1/5 - (12 bình chọn),"Android: https://play.google.com/store/apps/details?id=com.tqcdvc.vn
IOS: https://apps.apple.com/vn/app/tam-quc-chin-a-v-cng/id6739275046
APK: https://www.facebook.com/VN.TKINGSVN"
4,https://afkmobi.com/game/connector-star-empire,Connector Star Empire,https://upload.afkmobi.com/photos/afkmobi-com/2026/01/Connector_Star_Empire_1.png,Game chiến thuật,1.02 GB,English,3D,4.5/5 - (4 bình chọn),"Android: https://play.google.com/store/apps/details?id=com.stellar.empirex&hl=en
IOS: javascript:;
APK: https://apkcombo.com/connector-star-empire/com.stellar.empirex/"
5,https://afkmobi.com/game/thieu-nien-3q-khoi-nguyen,Thiếu Niên 3Q Khởi Nguyên,https://upload.afkmobi.com/photos/afkmobi-com/2026/01/thieu_nien_3q.png,Game chiến thuật,800 MB,Việt Nam,3D,2.8/5 - (6 bình chọn),"Android: https://play.google.com/store/apps/details?id=com.gmt.tn3q
IOS: https://apps.apple.com/vn/app/thiu-nin-3q-khi-nguyn/id6751880309?l=vi
APK: https://www.facebook.com/ThieuNien3QKhoiNguyen.Gamota"
6,https://afkmobi.com/game/than-tich-3d,Thần Tích 3D,https://upload.afkmobi.com/photos/afkmobi-com/2026/01/afkmobi_than_tich_3d_mobile_icon_hd.png,Game hành động,1GB,"Việt Nam, English",3D,3.5/5 - (4 bình chọn),"Android: https://play.google.com/store/apps/details?id=com.oracle.twgp
IOS: https://apps.apple.com/vn/app/thn-tch-3d/id6749297907?l=vi
APK: https://www.facebook.com/thantich3d"
7,https://afkmobi.com/game/huyen-thoai-dota,Huyền Thoại Dota,https://upload.afkmobi.com/photos/afkmobi-com/2026/01/afkmobi_huyen_thoai_dota_icon_hd.jpg,Game thẻ tướng,600 MB,Việt Nam,2D,3.5/5 - (8 bình chọn),"Android: https://play.google.com/store/apps/details?id=com.gankmasters.htdt
IOS: https://apps.apple.com/vn/app/huyn-thoi-dt/id6747327987
APK: https://huyenthoaidota.357games.vn"
8,https://afkmobi.com/game/bleach-cong-huong-linh-hon,BLEACH Cộng Hưởng Linh Hồn,https://upload.afkmobi.com/photos/afkmobi-com/2026/01/afkmobi_BLEACH_cong_huong_linh_hon_icon_hd.png,Game hành động,2 GB,"Việt Nam, English",3D,5/5 - (3 bình chọn),"Android: https://play.google.com/store/apps/details?id=com.blade.vn
IOS: https://apps.apple.com/vn/app/bleach-cng-hng-linh-hn/id6751634530
APK: https://www.bleach-soulresonance.com/vi-VN"
9,https://afkmobi.com/game/total-football-vng,Total Football VNG,https://upload.afkmobi.com/photos/afkmobi-com/2026/01/afkmobi_Total_Football_VNG_icon_hd.png,Game thể thao,1 GB,"Việt Nam, English",3D,3.3/5 - (9 bình chọn),"Android: https://play.google.com/store/apps/details?id=com.vnggames.totalfootball
IOS: https://totalfootball.vnggames.com/event-vn/tfsea/alpha-test
APK: https://totalfootball.vnggames.com/event-vn/tfsea/alpha-test"
10,https://afkmobi.com/game/cursed-seal-awakening,Cursed Seal: Awakening,https://upload.afkmobi.com/photos/afkmobi-com/2026/01/Cursed_Seal_Awakening.png,Game chiến thuật,407 MB,English,3D,5/5 - (1 bình chọn),"Android: https://play.google.com/store/apps/details?id=com.soru.awki
IOS: javascript:;
APK: https://apkcombo.com/vi/cursed-seal-awakening/com.soru.awki/"
